,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
798,798,17531,3.753471,24.467278,8.75,19.35,-41.63,4.3,-0.11,0,0,0.23986277963662883
803,803,27450,5.812426,18.243179,8.72,19.04,-37.36,7.25,0.384,0,0,0.1838854203390828
808,808,24602,5.277049,21.232459,8.68,53.11,-26.94,10.32,0.67,0,0,0.14276754826585614
812,812,18431,3.941145,23.150273,8.66,16.99,-47.06,8.34,0.269,0,0,0.28931075923687016
814,814,13923,2.989573,6.652102,8.65,25.64,-40.89,7.25,0.0,0,0,0.23852380295112804
815,815,16271,3.496428,18.738374,8.65,-8.15,-48.09,9.01,0.47,0,0,0.08319405755873334
816,816,18643,3.990526,18.662698,8.64,32.12,-29.05,10.96,0.655,0,0,0.12053093315425538
817,817,18059,3.860173000000001,22.031355,8.64,16.16,-30.54,6.71,1.12,0,0,-0.001604119815196052
819,819,14909,3.206905,15.04263,8.63,11.66,-34.33,10.57,0.584,0,0,0.027774970449847915
820,820,17348,3.712754,7.902952,8.62,32.79,-18.25,7.74,-0.2,0,0,-0.10729623566134057
822,822,17900,3.828758,23.711855,8.58,16.5,-44.53,6.17,-0.046,0,0,0.26054879035926554
824,824,17847,3.819373,24.053415,8.57,17.77,-44.7,3.62,-0.07,0,0,0.26454910772505824
825,825,17325,3.708297,20.14999,8.53,19.99,-45.06,8.42,0.329,0,0,0.29209815677469614
829,829,15341,3.2971550000000005,22.832191,8.5,22.79,-43.58,7.64,0.267,0,0,0.2854726058091697
837,837,16423,3.52454,21.821909,8.44,24.13,-49.19,8.88,0.391,0,0,0.3312034349088797
838,838,26879,5.70675,18.687347,8.44,22.9,-36.99,8.06,0.471,0,0,0.2050942785996108
839,839,19615,4.203149,21.535805,8.42,25.64,-15.29,8.73,0.6509999999999999,0,0,-0.23376824846378824
