recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,cluster,silhouette
6435,92,542,1,4.858245,5.264857,61.6,-7.7,11.071,9.922,9.819,0.977,      ,,,0,3,0.2344679077
6450,92,687,1,4.873379,4.332681,70.8,-49.6,9.475,8.93,8.881,0.463,31003,,,0,3,0.0411316798
6481,92,1008,1,4.803395,4.252853,70.2,-1.3,11.676,11.126,11.077,0.468,      ,,,0,3,0.3506248139
6522,93,499,1,4.895677,5.56552,66,-20.5,11.789,11.145,11.087,0.547,      ,,,0,3,0.277815296
6531,93,579,1,4.947629,4.58613,53.4,-5,11.985,10.483,10.348,1.277,      ,,,0,3,0.0514792718
6534,93,591,1,4.937954,4.432925,65.1,34,11.043,10.279,10.21,0.649,      ,,,0,3,0.2295439274
6555,93,773,1,4.920212,3.786788,61.6,-41.8,10.601,9.922,9.861,0.577,      ,,,0,3,0.0865167574
6558,93,839,1,4.988769,5.018781,103.5,31.2,11.931,11.145,11.074,0.668,      ,,,0,3,0.3969844582
6711,95,1525,1,4.745729,6.413524,61.9,49.1,10.883,10.285,10.231,0.508,      ,,,0,3,0.1443312407
6754,96,535,1,4.849028,6.459581,101.2,-46,10.035,9.456,9.404,0.492,      ,,,0,3,0.3199436917
6769,96,776,1,4.822942,6.564731,49.7,-14.1,10.547,9.772,9.702,0.659,      ,,,0,3,-0.107568157
6818,97,542,1,4.988075,6.430877,57.1,1.3,12.28,11.036,10.924,1.057,      ,,,0,3,0.1591761402
6836,97,726,1,4.974018,6.22311,84.7,-53.5,11.032,10.367,10.307,0.565,      ,,,0,3,0.1202454715
6847,97,873,1,4.922977,5.636391,61.9,32.7,9.082,8.43,8.371,0.554,31354,22889,14.24,0,3,0.2050712992
7856,106,892,1,5.01358,4.733113,72.8,11.1,10.93,9.82,9.72,0.944,      ,23312,16.77,0,3,0.353156331
8021,108,837,1,5.323502,4.170967,82.1,-32.4,11.917,11.222,11.159,0.591,      ,,,0,3,0.3991630156
8111,109,243,1,5.439741,3.856594,52.9,35.8,8.173,7.681,7.637,0.418,35638,25435,15.96,0,3,0.0725931235
8159,109,1222,1,5.455167,5.097109,50.1,-17.7,10.081,8.869,8.76,1.03,35772,,,0,3,-0.1123551942
8279,110,641,1,5.085149,6.130207,52.5,-12.4,8.297,7.754,7.705,0.462,32662,23662,16.69,0,3,-0.0079250118
8309,110,994,1,5.106037,7.302328,54,-35.7,11.555,10.786,10.717,0.654,      ,,,0,3,-0.0730255089
8326,110,1206,1,5.094549,6.465165,61.9,-0.3,11.251,10.001,9.889,1.063,240629,23701,13.78,0,3,0.2479053185
8349,111,315,1,5.204704,7.477682,46.2,42.7,10.304,9.606,9.543,0.593,33674,,,0,3,-0.0455961484
8388,111,1184,1,5.225528,5.768169,59.5,-30,9.378,8.219,8.115,0.985,33865,24351,4.04,0,3,0.1053734247
8400,111,1438,1,5.198745,5.71605,49.6,6.3,11.705,10.574,10.472,0.961,      ,,,0,3,-0.0022969517
8410,111,1835,1,5.162754,7.181586,50.2,12.5,7.979,7.476,7.431,0.428,33313,24021,21.39,0,3,0.0365621541
8441,112,683,1,5.279987,6.554837,65.4,-21,10.495,9.979,9.933,0.439,      ,,,0,3,0.270386488
9334,122,1118,1,5.555926,4.10023,131.3,-51.8,12.4,10.745,10.596,1.407,244872,,,0,3,0.2785591173
9537,125,352,1,5.887317,4.524667,68.2,113.8,10.653,9.781,9.703,0.741,248901,,,0,3,0.0530349989
